InvoiceID,CustomerID,InvoiceDate,PurchaseAmount
INV_155609,CUST_0575,2025-07-09,22.69
INV_170313,CUST_0570,2025-12-08,20.46
INV_561243,CUST_0838,2025-09-28,27.6
INV_103051,CUST_0613,2025-09-21,73.63
INV_821772,,2025-01-05,35.0
INV_827975,CUST_0992,2025-12-16,42.51
INV_903451,CUST_0820,2025-05-24,175.06
INV_698135,CUST_0106,2025-06-07,9.39
INV_474710,CUST_0831,2025-10-02,33.51
INV_368093,CUST_0346,2025-08-17,16.67
INV_174740,CUST_0791,2025-05-07,61.08
INV_277247,CUST_0641,2025-02-27,118.54
INV_276615,CUST_0638,2025-04-28,63.92
INV_653663,CUST_0237,2025-09-29,40.22
INV_814998,CUST_0447,2025-03-10,50.07
INV_955474,CUST_0963,2025-03-17,45.07
INV_554605,CUST_0997,2025-03-27,8.15
INV_675581,CUST_0220,2025-03-10,11.95
INV_876665,CUST_0750,2025-07-23,8.28
INV_555968,CUST_0432,2025-12-07,36.37
INV_990617,,2025-08-10,54.71
INV_692673,CUST_0522,2025-09-03,52.87
INV_472370,CUST_0180,2025-08-11,8.19
INV_109540,CUST_0442,2025-04-06,94.86
INV_466326,CUST_0516,2025-01-16,10.79
INV_249143,CUST_0258,2025-06-09,134.28
INV_453824,CUST_0908,2025-06-27,45.83
INV_990123,CUST_0929,2025-06-28,84.83
INV_431593,CUST_0835,2025-03-06,153.71
INV_924926,CUST_0043,2025-02-13,21.91
INV_724674,CUST_0302,2025-09-10,11.96
INV_712956,CUST_0727,2025-12-03,55.48
INV_943890,CUST_0922,2025-03-31,26.24
INV_924945,CUST_0617,2025-07-15,60.62
INV_992323,CUST_0493,2025-03-16,101.97
INV_616771,CUST_0729,2025-10-04,161.8
INV_933727,CUST_0394,2025-12-23,69.99
INV_117955,CUST_0739,2025-06-26,66.7
INV_500573,CUST_0978,2025-04-06,26.25
INV_775510,CUST_0736,2025-02-06,19.77
INV_514568,CUST_0525,2025-10-06,70.71
INV_278031,CUST_0798,2025-09-30,41.89
INV_664242,CUST_0729,2025-12-08,23.4
INV_566152,CUST_0177,2025-04-10,7.99
INV_159163,CUST_0915,2025-03-17,27.23
INV_940530,CUST_0718,2025-08-11,142.86
INV_727083,CUST_0506,2025-05-24,34.28
INV_389336,CUST_0025,2025-02-22,78.07
INV_645977,CUST_0039,2025-04-19,127.77
INV_138102,CUST_0935,2025-08-11,10.09
INV_727438,CUST_0733,2025-08-23,62.56
INV_331915,CUST_0588,2025-01-09,72.0
INV_383821,CUST_0913,2025-09-10,89.54
INV_455249,CUST_0653,2025-06-17,10.9
INV_712380,CUST_0795,2025-05-02,14.63
INV_535564,CUST_0165,2025-12-05,46.68
INV_792440,CUST_0833,2025-12-08,82.9
INV_844699,CUST_0301,2025-05-12,26.9
INV_334677,CUST_0415,2025-10-02,75.06
INV_849074,CUST_0167,2025-04-01,20.37
INV_629036,CUST_0039,2025-05-06,38.03
INV_130355,CUST_0754,2025-08-08,45.63
INV_405062,CUST_0476,2025-11-13,85.37
INV_592734,CUST_0001,2025-12-14,154.86
INV_342804,CUST_0508,2025-11-08,41.32
INV_753983,CUST_0134,2025-02-27,8.05
INV_906991,CUST_0173,2025-11-13,25.03
INV_383876,CUST_0886,2025-08-01,230.56
INV_738353,CUST_0676,2025-08-15,61.0
INV_359214,CUST_0047,2025-08-21,18.5
INV_468501,CUST_0415,2025-01-01,51.95
INV_965291,,2025-05-24,67.62
INV_488043,CUST_0330,2025-08-12,10.18
INV_109337,CUST_0408,2025-06-05,25.9
INV_446809,CUST_0348,2025-06-13,35.54
INV_227016,CUST_0316,2025-06-27,21.41
INV_483934,CUST_0740,2025-07-11,34.67
INV_419187,CUST_0145,2025-07-20,24.17
INV_651820,CUST_0461,2025-08-08,21.72
INV_498929,CUST_0558,2025-02-04,85.3
INV_229473,CUST_0883,2025-09-13,46.66
INV_418714,CUST_0010,2025-11-08,101.68
INV_161813,CUST_0877,2025-01-05,8.7
INV_212816,CUST_0065,2025-05-26,203.89
INV_818040,CUST_0779,2025-12-07,69.81
INV_932972,CUST_0854,2025-11-11,90.57
INV_370846,CUST_0929,2025-04-08,9.19
INV_773744,CUST_0385,2025-11-07,97.52
INV_442786,CUST_0709,2025-12-17,69.87
INV_897348,CUST_0437,2025-01-23,73.44
INV_549613,CUST_0714,2025-03-24,20.29
INV_943523,CUST_0457,2025-01-01,146.11
INV_605950,CUST_0446,2025-10-15,9.66
INV_289089,CUST_0072,2025-02-08,57.6
INV_787409,CUST_0438,2025-04-28,87.6
INV_225917,CUST_0268,2025-02-23,162.35
INV_381342,CUST_0734,2025-09-08,30.75
INV_964141,CUST_0303,2025-07-26,76.6
INV_705605,CUST_0578,2025-03-16,18.28
INV_863185,,2025-09-09,184.59
INV_880722,CUST_0098,2025-12-04,29.91
INV_983671,CUST_0447,2025-11-04,43.18
INV_353490,CUST_0335,2025-01-30,51.29
INV_608041,CUST_0081,2025-05-13,79.14
INV_417267,CUST_0184,2025-11-26,73.42
INV_900820,CUST_0984,2025-03-10,183.61
INV_358090,CUST_0450,2025-07-24,18.06
INV_598870,CUST_0752,2025-04-21,13.71
INV_777775,CUST_0848,2025-04-05,30.51
INV_272312,CUST_0520,2025-12-26,61.16
INV_431868,CUST_0195,2025-12-18,36.41
INV_517170,CUST_0672,2025-03-02,17.11
INV_989513,,2025-01-05,26.55
INV_230560,CUST_0829,2025-01-22,11.68
INV_848589,CUST_0645,2025-08-21,27.3
INV_312890,CUST_0546,2025-03-19,25.53
INV_274293,CUST_0073,2025-10-09,79.79
INV_480975,CUST_0239,2025-02-25,100.57
INV_310176,CUST_0573,2025-12-03,22.09
INV_843091,CUST_0008,2025-04-23,48.43
INV_735605,CUST_0719,2025-10-30,28.33
INV_668535,CUST_0526,2025-01-28,28.21
INV_246106,CUST_0386,2025-12-31,10.4
INV_969270,CUST_0312,2025-01-07,59.79
INV_218033,CUST_0750,2025-12-29,41.68
INV_266926,CUST_0506,2025-10-21,41.73
INV_321897,CUST_0192,2025-04-29,28.81
INV_550009,CUST_0039,2025-09-30,18.19
INV_758956,CUST_0126,2025-10-27,19.45
INV_567010,CUST_0212,2025-01-25,58.65
INV_126069,CUST_0233,2025-04-19,36.89
INV_181264,CUST_0034,2025-04-21,69.07
INV_291076,CUST_0748,2025-03-24,28.92
INV_699991,CUST_0518,2025-06-29,54.22
INV_521240,CUST_0315,2025-12-31,25.54
INV_625893,,2025-05-30,18.99
INV_287210,CUST_0503,2025-04-22,15.38
INV_258518,CUST_0446,2025-11-14,81.26
INV_856254,CUST_0137,2025-09-04,9.89
INV_640677,CUST_0040,2025-08-17,189.24
INV_843246,CUST_0322,2025-08-08,119.72
INV_899666,CUST_0646,2025-04-28,20.92
INV_441383,CUST_0574,2025-07-13,44.11
INV_237541,CUST_0026,2025-06-22,73.54
INV_289139,CUST_0410,2025-04-28,63.35
INV_489678,CUST_0225,2025-01-20,19.99
INV_666821,,2025-03-31,73.2
INV_467436,CUST_0805,2025-05-19,128.48
INV_814743,CUST_0259,2025-06-10,28.24
INV_401953,CUST_0010,2025-09-18,10.45
INV_108512,CUST_0013,2025-06-17,82.2
INV_872042,CUST_0319,2025-04-11,7.62
INV_142078,CUST_0911,2025-02-07,31.38
INV_886667,CUST_0817,2025-03-10,87.4
INV_988266,CUST_0946,2025-11-30,129.1
INV_872608,CUST_0137,2025-03-17,28.96
INV_237023,CUST_0296,2025-11-16,45.95
INV_158596,CUST_0349,2025-11-24,86.7
INV_973172,CUST_0270,2025-11-12,15.54
INV_599097,CUST_0165,2025-01-05,19.6
INV_838345,CUST_0574,2025-05-12,24.6
INV_784647,CUST_0089,2025-10-23,34.56
INV_565317,CUST_0526,2025-10-15,35.45
INV_502400,CUST_0865,2025-01-23,33.49
INV_538774,CUST_0665,2025-05-25,110.93
INV_635590,CUST_0962,2025-11-05,114.13
INV_196646,CUST_0947,2025-07-17,133.98
INV_443054,CUST_0179,2025-02-11,14.25
INV_125053,CUST_0623,2025-06-06,38.28
INV_953088,CUST_0231,2025-06-06,14.9
INV_381173,CUST_0997,2025-10-16,9.03
INV_274944,CUST_0834,2025-01-10,38.15
INV_784846,CUST_0118,2025-10-21,42.1
INV_402775,CUST_0228,2025-12-31,13.64
INV_226108,CUST_0015,2025-06-06,42.43
INV_382753,CUST_0047,2025-11-20,65.15
INV_437827,CUST_0411,2025-04-05,48.56
INV_695603,CUST_0292,2025-10-09,20.55
INV_700613,CUST_0011,2025-09-11,115.09
INV_477177,CUST_0134,2025-07-19,32.29
INV_306988,,2025-12-29,14.99
INV_288014,CUST_0616,2025-07-29,50.04
INV_795275,CUST_0616,2025-11-12,47.95
INV_415172,CUST_0356,2025-11-20,77.75
INV_600315,CUST_0840,2025-05-07,14.95
INV_275399,CUST_0799,2025-02-20,67.51
INV_134560,CUST_0297,2025-08-02,116.2
INV_232717,CUST_0814,2025-04-11,196.01
INV_594592,CUST_0420,2025-07-01,89.27
INV_430388,CUST_0831,2025-02-24,19.11
INV_611411,CUST_0431,2025-11-05,25.87
INV_140738,CUST_0313,2025-04-27,49.15
INV_863978,CUST_0575,2025-09-01,42.19
INV_398512,CUST_0806,2025-07-29,37.0
INV_871253,CUST_0640,2025-12-30,117.25
INV_906388,CUST_0664,2025-01-25,38.54
INV_194270,CUST_0856,2025-06-10,27.75
INV_990324,CUST_0662,2025-06-03,8.09
INV_857907,CUST_0049,2025-12-03,153.57
INV_306524,CUST_0630,2025-12-08,11.51
INV_626047,CUST_0360,2025-02-18,23.52
INV_551282,CUST_0141,2025-08-03,32.54
INV_841804,CUST_0318,2025-02-01,35.92
INV_320178,CUST_0477,2025-10-13,89.01
INV_803662,CUST_0018,2025-09-14,74.73
INV_400709,CUST_0194,2025-04-23,30.54
INV_676775,CUST_0947,2025-11-15,12.39
INV_178623,CUST_0925,2025-02-24,138.94
INV_837334,CUST_0778,2025-06-11,31.15
INV_209575,CUST_0476,2025-10-15,64.14
INV_605815,CUST_0833,2025-11-09,18.79
INV_549589,CUST_0983,2025-09-12,8.4
INV_139986,CUST_0761,2025-08-27,45.42
INV_427073,CUST_0609,2025-04-02,19.74
INV_830399,CUST_0803,2025-04-06,209.35
INV_416915,CUST_0120,2025-10-29,87.3
INV_868734,CUST_0165,2025-07-01,17.82
INV_378176,CUST_0823,2025-01-07,52.64
INV_267292,CUST_0151,2025-03-26,8.71
INV_481009,CUST_0915,2025-02-05,53.84
INV_840874,CUST_0514,2025-10-30,51.61
INV_478387,CUST_0746,2025-07-14,47.65
INV_294269,CUST_0261,2025-10-20,31.2
INV_220674,CUST_0905,2025-08-14,96.32
INV_356713,CUST_0500,2025-12-08,75.59
INV_607606,CUST_0158,2025-04-30,197.6
INV_135954,CUST_0128,2025-08-12,32.42
INV_595553,CUST_0209,2025-01-14,68.41
INV_941461,CUST_0237,2025-10-08,20.92
INV_942393,CUST_0278,2025-08-23,32.15
INV_488822,CUST_0442,2025-01-29,15.98
INV_618271,CUST_0805,2025-03-16,85.32
INV_655941,CUST_0853,2025-02-11,46.17
INV_746117,CUST_0034,2025-01-17,30.88
INV_140809,CUST_0378,2025-03-17,17.9
INV_575781,CUST_0342,2025-01-27,111.12
INV_277900,CUST_0731,2025-06-17,20.49
INV_463476,,2025-06-22,89.44
INV_490719,CUST_0476,2025-07-09,40.43
INV_250322,CUST_0130,2025-11-06,67.78
INV_677564,CUST_0693,2025-10-19,73.83
INV_976031,CUST_0149,2025-09-24,22.83
INV_328071,CUST_0676,2025-04-23,65.03
INV_516366,CUST_0227,2025-11-06,36.59
INV_582615,CUST_0664,2025-09-03,14.03
INV_344883,CUST_0289,2025-09-07,8.93
INV_221789,CUST_0467,2025-08-15,90.4
INV_278376,CUST_0507,2025-12-31,15.06
INV_793264,CUST_0154,2025-03-14,11.01
INV_707847,CUST_0641,2025-08-05,62.42
INV_145186,CUST_0042,2025-01-25,20.23
INV_830546,CUST_0498,2025-08-17,7.61
INV_675762,CUST_0478,2025-04-12,47.65
INV_893392,CUST_0613,2025-02-13,81.63
INV_980438,CUST_0957,2025-01-17,142.52
INV_799983,CUST_0497,2025-10-30,11.58
INV_807220,CUST_0216,2025-12-05,66.79
INV_205423,CUST_0081,2025-08-03,65.45
INV_817912,CUST_0710,2025-07-19,20.43
INV_452744,CUST_0268,2025-05-23,60.67
INV_137641,CUST_0877,2025-01-26,9.31
INV_712121,CUST_0016,2025-07-18,337.98
INV_144813,CUST_0981,2025-03-27,118.69
INV_442703,CUST_0335,2025-04-27,66.59
INV_499953,CUST_0840,2025-11-11,137.42
INV_437054,CUST_0223,2025-04-13,9.2
INV_310017,CUST_0152,2025-04-18,13.28
INV_590457,CUST_0131,2025-10-20,41.5
INV_194071,CUST_0183,2025-12-30,45.73
INV_739896,CUST_0497,2025-01-04,77.88
INV_354444,CUST_0397,2025-07-29,40.54
INV_223618,CUST_0426,2025-04-18,19.43
INV_915862,CUST_0170,2025-02-03,8.47
INV_955778,CUST_0781,2025-05-21,29.3
INV_931516,CUST_0891,2025-02-08,7.93
INV_375128,CUST_0958,2025-11-14,36.92
INV_989097,CUST_0272,2025-08-24,193.82
INV_504032,CUST_0926,2025-12-25,40.77
INV_658221,CUST_0990,2025-06-26,12.77
INV_999005,CUST_0376,2025-06-07,93.73
INV_885332,CUST_0293,2025-06-02,22.11
INV_222744,CUST_0975,2025-03-14,12.72
INV_691652,CUST_0344,2025-05-20,148.49
INV_811998,CUST_0061,2025-07-17,189.12
INV_658924,CUST_0302,2025-12-10,35.85
INV_293283,CUST_0226,2025-06-02,68.7
INV_531413,CUST_0571,2025-03-13,136.2
INV_963561,CUST_0885,2025-08-31,39.85
INV_576072,CUST_0107,2025-08-14,29.31
INV_698069,CUST_0753,2025-09-16,86.24
INV_176898,CUST_0047,2025-08-03,104.35
INV_107657,CUST_0020,2025-08-29,16.1
INV_474999,CUST_0419,2025-06-27,37.91
INV_678316,CUST_0003,2025-06-09,35.51
INV_134701,CUST_0120,2025-03-30,47.95
INV_342615,CUST_0357,2025-04-08,35.01
INV_427304,CUST_0323,2025-05-03,13.74
INV_915624,CUST_0195,2025-08-14,96.66
INV_551978,CUST_0463,2025-02-09,128.2
INV_658030,CUST_0955,2025-08-14,31.13
INV_957263,,2025-11-24,61.04
INV_758380,CUST_0602,2025-02-06,18.69
INV_502732,CUST_0796,2025-03-22,10.36
INV_228322,,2025-11-14,47.89
INV_349690,CUST_0568,2025-02-09,58.5
INV_186231,CUST_0973,2025-08-25,67.08
INV_590042,CUST_0147,2025-12-02,55.84
INV_526346,CUST_0571,2025-10-31,62.95
INV_620547,CUST_0557,2025-12-11,127.22
INV_777894,CUST_0191,2025-06-04,70.37
INV_692632,CUST_0133,2025-08-23,153.85
INV_627007,CUST_0031,2025-01-23,7.73
INV_716529,,2025-06-07,115.21
INV_716412,CUST_0356,2025-09-15,87.81
INV_588972,CUST_0524,2025-10-22,17.16
INV_620551,CUST_0046,2025-06-04,186.29
INV_918007,CUST_0223,2025-12-20,52.73
INV_700530,CUST_0365,2025-06-12,13.69
INV_244353,CUST_0414,2025-03-15,32.97
INV_257732,CUST_0831,2025-03-01,16.4
INV_708095,CUST_0989,2025-10-05,132.07
INV_606047,CUST_0484,2025-08-30,139.94
INV_697897,CUST_0017,2025-01-12,10.64
INV_476826,,2025-07-12,10.18
INV_215374,CUST_0210,2025-11-02,215.41
INV_973698,CUST_0285,2025-07-23,69.82
INV_632101,CUST_0948,2025-01-07,10.55
INV_389226,CUST_0879,2025-03-20,84.36
INV_244097,,2025-01-26,15.29
INV_984200,CUST_0285,2025-01-04,32.49
INV_438076,CUST_0039,2025-09-28,78.77
INV_440941,CUST_0075,2025-10-15,11.37
INV_677218,CUST_0084,2025-01-22,13.84
INV_395900,CUST_0849,2025-08-24,8.93
INV_521818,CUST_0021,2025-10-30,31.99
INV_787556,CUST_0084,2025-09-19,71.74
INV_346693,CUST_0387,2025-09-14,24.9
INV_650719,CUST_0527,2025-06-11,18.28
INV_531374,CUST_0793,2025-10-07,28.19
INV_383707,CUST_0492,2025-07-27,42.76
INV_501927,CUST_0430,2025-05-25,11.8
INV_261779,CUST_0591,2025-01-27,91.33
INV_338260,CUST_0199,2025-12-15,13.83
INV_770611,CUST_0536,2025-11-12,161.71
INV_618349,CUST_0558,2025-01-15,37.06
INV_658819,CUST_0455,2025-09-30,49.56
INV_877147,CUST_0521,2025-06-15,19.0
INV_935700,CUST_0831,2025-08-02,46.75
INV_709996,CUST_0386,2025-12-10,33.05
INV_257661,CUST_0721,2025-03-13,35.61
INV_817406,CUST_0320,2025-12-04,36.92
INV_164288,CUST_0166,2025-02-01,55.65
INV_932599,CUST_0102,2025-09-24,36.97
INV_793919,CUST_0553,2025-03-17,201.77
INV_720635,CUST_0463,2025-03-21,37.13
INV_122431,CUST_0660,2025-06-10,44.41
INV_998792,CUST_0242,2025-12-19,40.31
INV_936501,CUST_0973,2025-03-18,11.18
INV_853753,CUST_0103,2025-07-13,178.17
INV_955009,CUST_0686,2025-05-02,80.06
INV_944092,CUST_0106,2025-11-01,143.73
INV_860581,CUST_0963,2025-05-03,8.94
INV_133320,CUST_0073,2025-12-25,50.21
INV_359931,CUST_0370,2025-07-23,99.65
INV_649114,CUST_0318,2025-03-25,26.16
INV_198511,CUST_0383,2025-01-07,56.16
INV_920094,CUST_0900,2025-11-10,76.43
INV_719369,CUST_0515,2025-05-07,41.13
INV_619052,CUST_0014,2025-01-12,20.27
INV_787250,CUST_0537,2025-10-28,50.54
INV_128380,CUST_0567,2025-08-26,25.99
INV_739282,CUST_0631,2025-11-05,55.88
INV_902514,CUST_0812,2025-03-23,8.45
INV_889352,CUST_0662,2025-02-06,259.89
INV_895378,CUST_0059,2025-05-11,11.33
INV_998254,CUST_0035,2025-04-03,31.89
INV_474484,,2025-11-28,16.11
INV_912395,CUST_0159,2025-01-24,32.44
INV_476369,CUST_0382,2025-01-20,39.13
INV_519065,CUST_0689,2025-04-06,47.41
INV_667873,CUST_0117,2025-12-20,37.51
INV_915858,CUST_0335,2025-09-19,55.39
INV_349474,CUST_0371,2025-07-05,117.06
INV_971310,CUST_0237,2025-01-18,52.43
INV_257795,CUST_0737,2025-12-21,74.82
INV_297133,CUST_0752,2025-03-28,52.55
INV_688612,CUST_0334,2025-01-02,16.48
INV_720347,,2025-02-10,20.28
INV_397190,CUST_0381,2025-04-21,47.94
INV_932325,CUST_0985,2025-03-25,47.95
INV_429793,CUST_0145,2025-12-11,164.42
INV_244832,CUST_0163,2025-08-17,7.91
INV_857038,CUST_0424,2025-06-13,165.03
INV_444333,CUST_0287,2025-01-10,10.94
INV_211453,CUST_0592,2025-04-03,25.99
INV_965962,CUST_0361,2025-09-14,34.36
INV_614933,,2025-01-01,20.6
INV_417348,CUST_0980,2025-10-11,9.18
INV_857232,CUST_0687,2025-07-23,36.46
INV_969742,CUST_0632,2025-02-13,34.11
INV_134707,CUST_0719,2025-04-18,42.43
INV_802974,CUST_0882,2025-11-30,10.15
INV_574112,CUST_0293,2025-01-20,9.89
INV_259476,CUST_0119,2025-02-04,34.58
INV_950610,CUST_0059,2025-11-21,12.41
INV_348500,CUST_0206,2025-01-12,14.73
INV_296733,CUST_0242,2025-08-04,59.62
INV_246470,CUST_0994,2025-08-05,53.36
INV_430929,CUST_0223,2025-07-03,40.12
INV_909343,CUST_0919,2025-10-21,14.27
INV_626257,CUST_0638,2025-10-28,14.47
INV_747296,CUST_0746,2025-01-08,165.16
INV_734965,CUST_0776,2025-06-06,33.89
INV_596758,CUST_0175,2025-10-17,56.26
INV_386233,CUST_0218,2025-04-24,20.1
INV_588011,CUST_0648,2025-10-30,45.54
INV_201376,CUST_0987,2025-11-24,78.93
INV_381652,,2025-10-14,55.9
INV_894557,CUST_0304,2025-03-10,46.24
INV_629992,CUST_0220,2025-07-11,9.72
INV_782568,CUST_0161,2025-06-18,233.0
INV_519139,CUST_0757,2025-03-18,22.83
INV_584965,CUST_0610,2025-04-12,25.32
INV_345014,CUST_0019,2025-03-23,102.13
INV_494583,CUST_0851,2025-12-31,84.13
INV_451296,CUST_0822,2025-03-30,25.41
INV_308786,CUST_0076,2025-07-18,44.8
INV_239999,CUST_0828,2025-04-03,34.3
INV_949881,CUST_0497,2025-10-18,19.1
INV_553449,CUST_0267,2025-12-21,15.8
INV_325049,CUST_0962,2025-09-22,29.0
INV_847419,CUST_0328,2025-10-31,92.03
INV_394923,CUST_0629,2025-08-09,26.28
INV_766923,CUST_0133,2025-10-31,46.56
INV_520182,CUST_0740,2025-09-28,30.07
INV_965146,CUST_0326,2025-10-29,64.48
INV_159182,CUST_0427,2025-01-21,17.3
INV_753091,CUST_0117,2025-05-04,146.71
INV_571828,CUST_0715,2025-02-20,10.3
INV_237084,CUST_0141,2025-10-02,12.31
INV_798012,CUST_0964,2025-02-21,57.4
INV_221999,CUST_0751,2025-06-05,42.36
INV_800336,CUST_0106,2025-06-07,64.17
INV_186365,CUST_0589,2025-05-12,85.47
INV_279785,CUST_0459,2025-09-20,58.93
INV_905175,CUST_0039,2025-06-08,63.06
INV_732259,CUST_0241,2025-10-25,119.91
INV_957463,CUST_0886,2025-09-20,83.62
INV_712492,CUST_0685,2025-12-28,12.86
INV_240507,,2025-04-28,40.08
INV_706217,CUST_0905,2025-01-26,18.22
INV_618727,CUST_0984,2025-05-01,89.93
INV_227834,CUST_0152,2025-07-27,44.1
INV_549042,CUST_0293,2025-03-09,21.96
INV_975352,CUST_0612,2025-03-01,57.58
INV_601174,CUST_0146,2025-06-13,14.8
INV_346242,CUST_0242,2025-03-10,15.78
INV_966964,CUST_0108,2025-08-14,36.32
INV_640302,CUST_0977,2025-05-30,8.58
INV_305768,CUST_0419,2025-06-09,53.22
INV_893853,CUST_0590,2025-03-18,48.12
INV_628646,CUST_0921,2025-09-15,21.94
INV_394054,CUST_0597,2025-05-26,30.81
INV_209847,CUST_0937,2025-08-29,8.22
INV_396037,CUST_0700,2025-10-29,12.45
INV_416397,CUST_0554,2025-10-15,21.92
INV_304451,CUST_0036,2025-08-20,54.14
INV_503322,CUST_0899,2025-03-14,25.08
INV_426459,CUST_0070,2025-07-15,33.79
INV_235327,CUST_0642,2025-01-05,10.76
INV_960226,CUST_0149,2025-09-21,102.94
INV_329189,CUST_0812,2025-02-27,25.72
INV_749829,CUST_0130,2025-08-03,28.9
INV_605629,CUST_0209,2025-10-18,66.53
INV_719961,CUST_0116,2025-09-21,46.59
INV_955342,CUST_0548,2025-11-29,52.85
INV_450877,CUST_0311,2025-07-27,31.2
INV_784688,CUST_0633,2025-02-24,71.01
INV_855343,CUST_0400,2025-05-16,78.91
INV_286994,CUST_0542,2025-08-25,13.24
INV_293783,CUST_0104,2025-04-28,227.58
INV_984884,CUST_0364,2025-11-17,90.54
INV_477844,CUST_0084,2025-08-19,97.51
INV_618652,CUST_0784,2025-02-07,15.31
INV_843537,CUST_0654,2025-10-19,23.75
INV_659873,CUST_0749,2025-03-07,29.08
